time[sec],pulse_O,pulse_1
0,16940,11852
0.05212402,32140,34536
0.1119537,35186,48166
0.1652756,40530,54352
0.2204361,45518,62226
0.2709656,48766,68348
0.3215637,50834,72204
0.3811569,53574,75720
0.4325562,54762,76834
0.4886627,55670,77346
0.5388947,56420,77662
0.5907288,56670,77776
0.6439743,56784,77498
0.700325,51924,75252
0.7565079,54738,75232
0.8114548,54684,74386
0.8618088,57826,75170
0.9122162,57836,75630
0.9655457,57608,75388
1.018692,58274,75306
1.072067,58630,75558
1.124153,58702,75350
1.17485,58784,75246
1.228989,58830,74920
1.281601,59152,75112
1.333946,59268,75036
1.384003,59224,74854
1.443604,59526,74734
1.499741,59540,74584
1.555939,59524,74610
1.608406,59580,74536
1.662483,59588,74340
1.71582,59736,74322
1.76667,59694,74206
1.817307,59674,73888
1.870903,59754,73788
1.925545,59976,73786
1.979904,60024,73654
2.030067,60012,73324
2.080154,60042,73192
2.130264,59992,72954
2.184319,60128,72618
2.238998,60050,72286
2.289352,60330,72546
2.339958,60054,71800
2.392838,60170,71760
2.445015,60384,71786
2.502571,60198,71434
2.554451,60250,71552
2.608337,60304,71422
2.669411,60310,71346
2.72084,60450,71344
2.774391,60356,71020
2.829514,60488,71078
2.880646,60500,70886
2.935486,60480,70788
2.985794,60562,70876
3.03746,60602,70664
3.089577,60656,70684
3.14193,60584,70246
3.198517,60794,70494
3.251823,60714,69972
3.307587,60768,69780
3.365555,60758,69698
3.41758,60910,69506
3.472618,60688,69376
3.526512,60784,69488
3.581024,61096,69630
3.635559,61200,69218
3.693253,60940,69278
3.745071,60434,68154
3.797791,60594,67024
3.854271,60142,67046
3.904922,59844,67152
3.961067,61396,67980
4.017632,61448,67792
4.072205,61296,68312
4.128136,61354,68094
4.182823,60734,68616
4.236511,61320,68802
4.287804,61824,68828
4.341042,61078,66358
4.391052,51382,59826
4.449997,43094,52012
4.501259,35170,36626
4.559242,10230,4284
4.612755,1834,0
Completed,Completed,Completed
