subject,stimulation,position,seed_p,seed_s
kaneko,n,p3,0.101023548,0.76326405
kaneko,n,p1,0.941189444,
kaneko,n,p2,0.377610278,
kaneko,e,p2,0.519368157,0.4803303
kaneko,e,p3,0.988060236,
kaneko,e,p1,0.63603886,
kaneko,v,p3,0.421835899,0.036045377
kaneko,v,p2,0.757506908,
kaneko,v,p1,0.196966768,
